"阿","ā"
"必要","bì yào"
"毕竟","bì jìng"
"毕业","bì yè"
"闭","bì"
"闭合","bì hé"
"壁","bì"
"壁画","bì huà"
"避","bì"
"避免","bì miǎn"
"臂","bì"
"边","biān"
"边疆","biān jiāng"
"边界","biān jiè"
"边境","biān jìng"
"边区","biān qū"
"边缘","biān yuán"
"编","biān"
"编辑","biān jí"
"编写","biān xiě"
"编制","biān zhì"
"鞭","biān"
"鞭子","biān zi"
"扁","biǎn"
"变","biàn"
"变动","biàn dòng"
"变法","biàn fǎ"
"变革","biàn gé"
"变更","biàn gēng"
"变化","biàn huà"
"变换","biàn huàn"
"变量","biàn liàng"
"变迁","biàn qiān"
"变态","biàn tài"
"变形","biàn xíng"
"变异","biàn yì"
"便","biàn"
"便利","biàn lì"
"便于","biàn yú"
"遍","biàn"
"辨","biàn"
"辨别","biàn bié"
"辨认","biàn rèn"
"辩护","biàn hù"
"辩证","biàn zhèng"
"辩证法","biàn zhèng fǎ"
"标","biāo"
"标本","biāo běn"
"标题","biāo tí"
"标语","biāo yǔ"
"标志","biāo zhì"
"标准","biāo zhǔn"
"标准化","biāo zhǔn huà"
"表","biǎo"
"表层","biǎo céng"
"表达","biǎo dá"
"表面","biǎo miàn"
"表明","biǎo míng"
"表皮","biǎo pí"
"表情","biǎo qíng"
"表示","biǎo shì"
"表述","biǎo shù"
"表现","biǎo xiàn"
"表象","biǎo xiàng"
"表演","biǎo yǎn"
"表扬","biǎo yáng"
"表彰","biǎo zhāng"
"别","bié"
"别人","bié•rén"
"别","biè"
"宾","bīn"
"冰","bīng"
"冰川","bīng chuān"
"兵","bīng"
"兵力","bīng lì"
"丙","bǐng"
"柄","bǐng"
"饼","bǐng"
"屏","bǐng"
"并","bìng"
"并且","bìng qiě"
"并用","bìng yòng"
"病","bìng"
"病变","bìng biàn"
"病毒","bìng dú"
"病理","bìng lǐ"
"病情","bìng qíng"
"病人","bìng rén"
"拨","bō"
"波","bō"
"波长","bō cháng"
"波动","bō dòng"
"波浪","bō làng"
"玻璃","bō•lí"
"剥夺","bō duó"
"剥削","bō xuē"
"播种","bō zhǒng"
"播种","bō zhòng"
"伯","bó"
"脖子","bó zi"
"博士","bó shì"
"搏斗","bó dòu"
"薄","bó"
"薄弱","bó ruò"
"薄","bò"
"补","bǔ"
"补偿","bǔ cháng"
"补充","bǔ chōng"
"补贴","bǔ tiē"
"捕","bǔ"
"捕捞","bǔ lāo"
"捕食","bǔ shí"
"捕捉","bǔ zhuō"
"不","bù"
"不安","bù’ān"
"不必","bù bì"
"不便","bù biàn"
"不曾","bù céng"
"不错","bù cuò"
"不但","bù dàn"
"不当","bù dāng"
"不等","bù děng"
"不定","bù dìng"
"不断","bù duàn"
"不对","bù duì"
"不妨","bù fáng"
"不服","bù fú"
"不够","bù gòu"
"不顾","bù gù"
"不管","bù guǎn"
"不光","bù guāng"
"不过","bù guò"
"不合","bù hé"
"不及","bù jí"
"不禁","bù jīn"
"不仅","bù jǐn"
"不久","bù jiǔ"
"不堪","bù kān"
"不可","bù kě"
"不快","bù kuài"
"不利","bù lì"
"不良","bù liáng"
"不料","bù liào"
"不论","bù lùn"
"不满","bù mǎn"
"不免","bù miǎn"
"不怕","bù pà"
"不平","bù píng"
"不然","bù rán"
"不容","bù róng"
"不如","bù rú"
"不时","bù shí"
"不惜","bù xī"
"不想","bù xiǎng"
"不行","bù xíng"
"不幸","bù xìng"
"不许","bù xǔ"
"不要","bù yào"
"不宜","bù yí"
"不已","bù yǐ"
"不用","bù yòng"
"不止","bù zhǐ"
"不足","bù zú"
"布","bù"
"布局","bù jú"
"布置","bù zhì"
"步","bù"
"步伐","bù fá"
"步骤","bù zhòu"
"步子","bù zi"
"部","bù"
"部队","bù duì"
"部分","bù fen"
"部落","bù luò"
"部门","bù mén"
"部署","bù shǔ"
"部位","bù wèi"
"擦","cā"
"猜","cāi"
"才","cái"
"才能","cái néng"
"材","cái"
"材料","cái liào"
"财","cái"
"财产","cái chǎn"
"财富","cái fù"
"财力","cái lì"
"财务","cái wù"
"财政","cái zhèng"
"采","cǎi"
"采访","cǎi fǎng"
"采购","cǎi gòu"
"采集","cǎi jí"
"采取","cǎi qǔ"
"采用","cǎi yòng"
"彩","cǎi"
"彩色","cǎi sè"
"踩","cǎi"
"菜","cài"
"蔡","cài"
"参","cān"
"参观","cān guān"
"参加","cān jiā"
"参考","cān kǎo"
"参谋","cān móu"
"参数","cān shù"
"参与","cān yù"
"参照","cān zhào"
"残","cán"
"残酷","cán kù"
"残余","cán yú"
"蚕","cán"
"灿烂","càn làn"
"仓","cāng"
"仓库","cāng kù"
"苍白","cāng bái"
"苍蝇","cāng ying"
"舱","cāng"
"藏","cáng"
"操","cāo"
"操纵","cāo zòng"
"操作","cāo zuò"
"曹","cáo"
"槽","cáo"
"草","cǎo"
"草案","cǎo’àn"
"草地","cǎo dì"
"草原","cǎo yuán"
"册","cè"
"侧","cè"
"侧面","cè miàn"
"侧重","cè zhòng"
"测","cè"
"测定","cè dìng"
"测量","cè liáng"
"测验","cè yàn"
"策略","cè lüè"
"层","céng"
"层次","céng cì"
"曾","céng"
"曾经","céng jīng"
"叉","chā"
"差","chā"
"差别","chā bié"
"差价","chā jià"
"差距","chā jù"
"差异","chā yì"
"插","chā"
"茶","chá"
"茶馆儿","chá guǎn r"
"茶叶","chá yè"
"查","chá"
"察","chá"
"叉","chǎ"
"差","chà"
"差不多","chà•bùduō"
"差点儿","chà diǎnr"
"拆","chāi"
"差","chāi"
"柴","chái"
"缠","chán"
"产","chǎn"
"产地","chǎn dì"
"产量","chǎn liàng"
"产品","chǎn pǐn"
"产生","chǎn shēng"
"产物","chǎn wù"
"产业","chǎn yè"
"产值","chǎn zhí"
"阐明","chǎn míng"
"阐述","chǎn shù"
"颤抖","chàn dǒu"
"长","cháng"
"长城","cháng chéng"
"长处","cháng•chù"
"长度","cháng dù"
"长短","cháng duǎn"
"长久","cháng jiǔ"
"长期","cháng qī"
"长远","cháng yuǎn"
"长征","cháng zhēng"
"场","cháng"
"肠","cháng"
"尝","cháng"
"尝试","cháng shì"
"常","cháng"
"常规","cháng guī"
"常年","cháng nián"
"常识","cháng shí"
"常数","cháng shù"
"厂","chǎng"
"厂房","chǎng fáng"
"场","chǎng"
"场地","chǎng dì"
"场合","chǎng hé"
"场面","chǎng miàn"
"场所","chǎng suǒ"
"唱","chàng"
"抄","chāo"
"超","chāo"
"超出","chāo chū"
"超额","chāo’é"
"超过","chāo guò"
"超越","chāo yuè"
"巢","cháo"
"朝","cháo"
"朝廷","cháo tíng"
"潮","cháo"
"潮流","cháo liú"
"潮湿","cháo shī"
"吵","chǎo"
"炒","chǎo"
"车","chē"
"车间","chē jiān"
"车辆","chē liàng"
"车厢","chē xiāng"
"车站","chē zhàn"
"车子","chē zi"
"扯","chě"
"彻底","chè dǐ"
"撤","chè"
"撤销","chè xiāo"
"臣","chén"
"尘","chén"
"沉","chén"
"沉淀","chén diàn"
"沉积","chén jī"
"沉默","chén mò"
"沉思","chén sī"
"沉重","chén zhòng"
"沉着","chén zhuó"
"陈","chén"
"陈旧","chén jiù"
"陈述","chén shù"
"称","chèn"
"趁","chèn"
"称","chēng"
"称号","chēng hào"
"称呼","chēng hu"
"称赞","chēng zàn"
"撑","chēng"
"成","chéng"
"成本","chéng běn"
"成虫","chéng chóng"
"成分","chéng•fèn"
"成功","chéng gōng"
"成果","chéng guǒ"
"成绩","chéng jì"
"成就","chéng jiù"
"成立","chéng lì"
"成年","chéng nián"
"成人","chéng rén"
"成熟","chéng shú"
"成为","chéng wéi"
"成效","chéng xiào"
"成语","chéng yǔ"
"成员","chéng yuán"
"成长","chéng zhǎng"
"呈","chéng"
"呈现","chéng xiàn"
"诚","chéng"
"诚恳","chéng kěn"
"诚实","chéng•shí"
"承","chéng"
"承包","chéng bāo"
"承担","chéng dān"
"承认","chéng rèn"
"承受","chéng shòu"
"城","chéng"
"城市","chéng shì"
"城镇","chéng zhèn"
"乘","chéng"
"乘机","chéng jī"
"乘客","chéng kè"
"盛","chéng"
"程","chéng"
"程度","chéng dù"
"程式","chéng shì"
"程序","chéng xù"
"惩罚","chéng fá"
"秤","chèng"
"吃","chī"
"吃饭","chī fàn"
"吃惊","chī jīng"
"吃力","chī lì"
"池","chí"
"池塘","chí táng"
"迟","chí"
"持","chí"
"持久","chí jiǔ"
"持续","chí xù"
"尺","chǐ"
"尺度","chǐ dù"
"齿","chǐ"
"赤","chì"
"赤道","chì dào"
"翅","chì"
"翅膀","chì bǎng"
"冲","chōng"
"冲动","chōng dòng"
"冲击","chōng jī"
"冲破","chōng pò"
"冲突","chōng tū"
"充","chōng"
"充当","chōng dāng"
"充分","chōng fèn"
"充满","chōng mǎn"
"充实","chōng shí"
"充足","chōng zú"
"虫","chóng"
"重","chóng"
"重复","chóng fù"
"重合","zhóng hé"
"重新","chóng xīn"
"崇拜","chóng bài"
"崇高","chóng gāo"
"衝","chòng"
"抽","chōu"
"抽象","chōu xiàng"
"仇恨","chóu hèn"
"愁","chóu"
"丑","chǒu"
"臭","chòu"
"出","chū"
"出版","chū bǎn"
"出产","chū chǎn"
"出发","chū fā"
"出发点","chū fā diǎn"
"出国","chū guó"
"出口","chū kǒu"
"出来","chū•lái"
"出路","chū lù"
"出卖","chū mài"
"出门","chū mén"
"出去","chū•qù"
"出色","chū sè"
"出身","chū shēn"
"出生","chū shēng"
"出售","chū shòu"
"出土","chū tǔ"
"出席","chū xí"
"出现","chū xiàn"
"出血","chū xiě"
"初","chū"
"初步","chū bù"
"初级","chū jí"
"初期","chū qī"
"初中","chū zhōng"
"除","chú"
"除非","chú fēi"
"除了","chú le"
"厨房","chú fáng"
"处","chǔ"
"处罚","chǔ fá"
"处分","chǔ fèn"
"处境","chǔ jìng"
"处理","chǔ lǐ"
"处于","chǔ yú"
"储备","chǔ bèi"
"储存","chǔ cún"
"储量","chǔ liàng"
"储蓄","chǔ xù"
"楚","chǔ"
"处","chù"
"畜","chù"
"触","chù"
"川","chuān"
"穿","chuān"
"穿着","chuān zhuó"
"传","chuán"
"传播","chuán bō"
"传达","chuán dá"
"传导","chuán dǎo"
"传递","chuán dì"
"传教士","chuán jiào shì"
"传染病","chuán rǎn bìng"
"传授","chuán shòu"
"传说","chuán shuō"
"传统","chuán tǒng"
"船","chuán"
"船舶","chuán bó"
"船长","chuán zhǎng"
"船只","chuán zhī"
"喘","chuǎn"
"串","chuàn"
"串联","chuàn lián"
"创","chuāng"
"创伤","chuāng shāng"
"窗","chuāng"
"窗户","chuāng hu"
"窗口","chuāng kǒu"
"窗子","chuāng zi"
"床","chuáng"
"幢","chuáng"
"闯","chuǎng"
"创","chuàng"
"创办","chuàng bàn"
"创立","chuàng lì"
"创新","chuàng xīn"
"创造","chuàng zào"
"创造性","chuàng zào xìng"
"创作","chuàng zuò"
"吹","chuī"
"垂","chuí"
"垂直","chuí zhí"
"锤","chuí"
"春","chūn"
"春季","chūn jì"
"春节","chūn jié"
"春秋","chūn qiū"
"春天","chūn tiān"
"纯","chún"
"纯粹","chún cuì"
"纯洁","chún jié"
"唇","chún"
"词","cí"
"词典","cí diǎn"
"词汇","cí huì"
"词义","cí yì"
"词语","cí yǔ"
"词组","cí zǔ"
"辞","cí"
"辞职","cí zhí"
"磁","cí"
"磁场","cí chǎng"
"磁力","cí lì"
"磁铁","cí tiě"
"雌","cí"
"此","cǐ"
"此地","cǐ dì"
"此后","cǐ hòu"
"此刻","cǐ kè"
"此外","cǐ wài"
"次","cì"
"次数","cì shù"
"次序","cì xù"
"次要","cì yào"
"刺","cì"
"刺激","cì•jī"
"赐","cì"
"聪明","cōng•míng"
"从","cóng"
"从此","cóng cǐ"
"从而","cóng ér"
"从来","cóng lái"
"从前","cóng qián"
"从事","cóng shì"
"从小","cóng xiǎo"
"从中","cóng zhōng"
"丛","cóng"
"凑","còu"
"粗","cū"
"粗糙","cū cāo"
"促","cù"
"促成","cù chéng"
"促进","cù jìn"
"促使","cù shǐ"
"簇","cù"
"窜","cuàn"
"催","cuī"
"摧残","cuī cán"
"摧毁","cuī huǐ"
"村","cūn"
"村庄","cūn zhuāng"
"村子","cūn zi"
"存","cún"
"存款","cún kuǎn"
"存在","cún zài"
"寸","cùn"
"挫折","cuò zhé"
"措施","cuò shī"
"锉","cuò"
"错误","cuò•wù"
"搭","dā"
"答应","dā ying"
"打","dá"
"达","dá"
"达到","dá dào"
"答","dá"
"答案","dá àn"
"答复","dá•fù"
"打","dǎ"
"打败","dǎ bài"
"打扮","dǎ ban"
"打倒","dǎ dǎo"
"打击","dǎ jī"
"打架","dǎ jià"
"打开","dǎ kāi"
"打量","dǎ liang"
"打破","dǎ pò"
"打算","dǎ suan"
"打听","dǎ ting"
"打下","dǎ xià"
"打仗","dǎ zhàng"
"大","dà"
"大伯","dà bó"
"大臣","dà chén"
"大胆","dà dǎn"
"大地","dà dì"
"大豆","dà dòu"
"大队","dà duì"
"大多","dà duō"
"大多数","dà duō shù"
"大风","dà fēng"
"大概","dà gài"
"大纲","dà gāng"
"大哥","dà gē"
"大会","dà huì"
"大伙儿","dà huǒ r"
"大家","dà jiā"
"大街","dà jiē"
"大姐","dà jiě"
"大量","dà liàng"
"大陆","dà lù"
"大妈","dà mā"
"大门","dà mén"
"大脑","dà nǎo"
"大娘","dà niáng"
"大炮","dà pào"
"大气","dà qì"
"大庆","dà qìng"
"大人","dà rén"
"大嫂","dà sǎo"
"大厦","dà shà"
"大婶儿","dà shěn r"
"大师","dà shī"
"大事","dà shì"
"大叔","dà shū"
"大体","dà tǐ"
"大厅","dà tīng"
"大王","dà wáng"
"大小","dà xiǎo"
"大型","dà xíng"
"大学","dà xué"
"大学生","dà xué shēng"
"大洋","dà yáng"
"大爷","dà yé"
"大爷","dà ye"
"大衣","dà yī"
"大雨","dà yǔ"
"大约","dà yuē"
"大战","dà zhàn"
"大致","dà zhì"
"大众","dà zhòng"
"大自然","dà zì rán"
"呆","dāi"
"待","dāi"
"大夫","dài fu"
"代","dài"
"代表","dài biǎo"
"代价","dài jià"
"代理","dài lǐ"
"代理人","dài lǐ rén"
"代替","dài tì"
"代谢","dài xiè"
"带","dài"
"带动","dài dòng"
"带领","dài lǐng"
"带头","dài tóu"
"贷款","dài kuǎn"
"待","dài"
"待遇","dài yù"
"袋","dài"
"逮捕","dài bǔ"
"戴","dài"
"担","dān"
"担负","dān fù"
"担任","dān rèn"
"担心","dān xīn"
"单","dān"
"单纯","dān chún"
"单调","dān diào"
"单独","dān dú"
"单位","dān wèi"
"单一","dān yī"
"耽误","dān wu"
"胆","dǎn"
"石","dàn"
"但","dàn"
"但是","dàn shì"
"担","dàn"
"担子","dàn zi"
"诞生","dàn shēng"
"淡","dàn"
"淡水","dàn shuǐ"
"弹","dàn"
"蛋","dàn"
"蛋白","dàn bái"
"蛋白质","dàn bái zhì"
"氮","dàn"
"当","dāng"
"当场","dāng chǎng"
"当初","dāng chū"
"当代","dāng dài"
"当地","dāng dì"
"当即","dāng jí"
"当今","dāng jīn"
"当局","dāng jú"
"当年","dàng nián"
"当前","dāng qián"
"当然","dāng rán"
"当时","dàng shí"
"当事人","dāng shì rén"
"当选","dāng xuǎn"
"当中","dāng zhōng"
"挡","dǎng"
"党","dǎng"
"党委","dǎng wěi"
"党性","dǎng xìng"
"党员","dǎng yuán"
"当","dàng"
"当成","dàng chéng"
"当年","dàng nián"
"当时","dàng shí"
"当天","dàng tiān"
"当做","dàng zuò"
"档案","dàng àn"
"刀","dāo"
"导","dǎo"
"导弹","dǎo dàn"
"导管","dǎo guǎn"
"导体","dǎo tǐ"
"导线","dǎo xiàn"
"导演","dǎo yǎn"
"导致","dǎo zhì"
"岛","dǎo"
"岛屿","dǎo yǔ"
"倒","dǎo"
"倒霉","dǎo méi"
"到","dào"
"到处","dào chù"
"到达","dào dá"
"到底","dào dǐ"
"到来","dào lái"
"盗","dào"
"盗窃","dào qiè"
"道","dào"
"道德","dào dé"
"道教","dào jiào"
"道理","dào•lǐ"
"道路","dào lù"
"稻","dào"
"稻谷","dào gǔ"
"得","dé"
"得到","dé dào"
"得以","dé yǐ"
"得意","dé yì"
"德","dé"
"德育","dé yù"
"得","děi"
"灯","dēng"
"灯光","dēng guāng"
"灯泡儿","dēng pàor"
"登","dēng"
"登记","dēng jì"
"蹬","dēng"
"等","děng"
"等待","děng dài"
"等到","děng dào"
"等候","děng hòu"
"等级","děng jí"
"等于","děng yú"
"邓","dèng"
"瞪","dèng"
"低","dī"
"低级","dī jí"
"低头","dī tóu"
"低温","dī wēn"
"低下","dī xià"
"滴","dī"
"的确","dí què"
"敌","dí"
"敌对","dí duì"
"敌人","dí rén"
"抵","dǐ"
"抵抗","dǐ kàng"
"抵制","dǐ zhì"
"底","dǐ"
"底层","dǐ céng"
"底下","dǐ•xià"
"地","dì"
"地板","dì bǎn"
"地表","dì biǎo"
"地步","dì bù"
"地层","dì céng"
"地带","dì dài"
"地点","dì diǎn"
"地方","dì fāng"
"地方","dì fang"
"地理","dì lǐ"
"地貌","dì mào"
"地面","dì miàn"
"地壳","dì qiào"
"地球","dì qiú"
"地区","dì qū"
"地势","dì shì"
"地图","dì tú"
"地位","dì wèi"
"地下","dì xià"
"地下","dì•xia"
"地下水","dì xià shuǐ"
"地形","dì xíng"
"地域","dì yù"
"地震","dì zhèn"
"地质","dì zhì"
"地主","dì zhǔ"
"地租","dì zū"
"弟弟","dì di"
"弟兄","dì xiong"
"弟子","dì zǐ"
"帝","dì"
"帝国","dì guó"
"递","dì"
"第","dì"
"典型","diǎn xíng"
"点","diǎn"
"点燃","diǎn rán"
"点头","diǎn tóu"
"碘","diǎn"
"电","diàn"
"电报","diàn bào"
"电场","diàn chǎng"
"电池","diàn chí"
"电磁","diàn cí"
"电磁波","diàn cí bō"
"电灯","diàn dēng"
"电动","diàn dòng"
"电荷","diàn hè"
"电话","diàn huà"
"电离","diàn lí"
"电力","diàn lì"
"电量","diàn liàng"
"电流","diàn liú"
"电路","diàn lù"
"电脑","diàn nǎo"
"电能","diàn néng"
"电器","diàn qì"
"电容","diàn róng"
"电视","diàn shì"
"电视剧","diàn shì jù"
"电视台","diàn shì tái"
"电台","diàn tái"
"电线","diàn xiàn"
"电压","diàn yā"
"电影","diàn yǐng"
"电源","diàn yuán"
"电子","diàn zǐ"
"电阻","diàn zǔ"
"店","diàn"
"垫","diàn"
"淀粉","diàn fěn"
"奠定","diàn dìng"
"雕","diāo"
"雕刻","diāo kè"
"雕塑","diāo sù"
"吊","diào"
"调","diào"
"调拨","diào bō"
"调查","diào chá"
"调动","diào dòng"
"掉","diào"
"爹","diē"
"跌","diē"
"迭","dié"
"叠","dié"
"丁","dīng"
"叮","dīng"
"盯","dīng"
"顶","dǐng"
"顶点","dǐng diǎn"
"顶端","dǐng duān"
"订","dìng"
"订货","dìng huò"
"钉","dìng"
"定","dìng"
"定额","dìng é"
"定理","dìng lǐ"
"定量","dìng liàng"
"定律","dìng lǜ"
"定期","dìng qī"
"定向","dìng xiàng"
"定型","dìng xíng"
"定义","dìng yì"
"丢","diū"
"东","dōng"
"东北","dōng běi"
"东方","dōng fāng"
"东南","dōng nán"
"东欧","dōng ōu"
"东西","dōng xī"
"东西","dōng xi"
"冬","dōng"
"冬季","dōng jì"
"冬天","dōng tiān"
"懂","dǒng"
"懂得","dǒng•dé"
"动","dòng"
"动词","dòng cí"
"动机","dòng jī"
"动静","dòng jing"
"动力","dòng lì"
"动量","dòng liàng"
"动脉","dòng mài"
"动能","dòng néng"
"动人","dòng rén"
"动手","dòng shǒu"
"动态","dòng tài"
"动物","dòng wù"
"动摇","dòng yáo"
"动员","dòng yuán"
"动作","dòng zuò"
"冻","dòng"
"洞","dòng"
"都","dōu"
"兜","dōu"
"斗","dǒu"
"抖","dǒu"
"斗","dòu"
"斗争","dòu zhēng"
"豆","dòu"
"豆腐","dòu fu"
"逗","dòu"
"都","dū"
"都会","dū huì"
"都市","dū shì"
"毒","dú"
"毒素","dú sù"
"独","dú"
"独立","dú lì"
"独特","dú tè"
"独占","dú zhàn"
"独自","dú zì"
"读","dú"
"读书","dú shū"
"读者","dú zhě"
"肚子","dǔ zi"
"堵","dǔ"
"杜","dù"
"肚皮","dù pí"
"肚子","dǔ zi"
"度","dù"
"渡","dù"
"端","duān"
"端正","duān zhèng"
"短","duǎn"
"短期","duǎn qī"
"短暂","duǎn zàn"
"段","duàn"
"断","duàn"
"断定","duàn dìng"
"锻炼","duàn liàn"
"堆","duī"
"堆积","duī jī"
"队","duì"
"队伍","duì wu"
"对","duì"
"对比","duì bǐ"
"对不起","duì•bù qǐ"
"对称","duì chēng"
"对待","duì dài"
"对方","duì fāng"
"对付","duì fu"
"对话","duì huà"
"对抗","duì kàng"
"对立","duì lì"
"对流","duì liú"
"对面","duì miàn"
"对手","duì shǒu"
"对象","duì xiàng"
"对应","duì yìng"
"对于","duì yú"
"对照","duì zhào"
"吨","dūn"
"蹲","dūn"
"顿","dùn"
"顿时","dùn shí"
"多","duō"
"多边形","duō biān xíng"
"多么","duō me"
"多少","duō shǎo"
"多数","duō shù"
"多余","duō yú"
"夺","duó"
"夺取","duó qǔ"
"度","duó"
"朵","duǒ"
"躲","duǒ"
"阿","ē"
"俄","é"
"鹅","é"
"额","é"
"恶","è"
"恶化","è huà"
"恶劣","è liè"
"饿","è"
"恩","ēn"
"儿","ér"
"儿女","ér nǚ"
"儿童","ér tóng"
"儿子","ér zi"
"而","ér"
"而后","ér hòu"
"而且","ér qiě"
"尔","ěr"
"耳","ěr"
"耳朵","ěr duo"
"饵料","ěr liào"
"二","èr"
"发","fā"
"发表","fā biǎo"
"发病","fā bìng"
"发布","fā bù"
"发出","fā chū"
"发达","fā dá"
"发电","fā diàn"
"发动","fā dòng"
"发动机","fā dòng jī"
"发抖","fā dǒu"
"发挥","fā huī"
"发觉","fā jué"
"发掘","fā jué"
"发明","fā míng"
"发起","fā qǐ"
"发热","fā rè"
"发射","fā shè"
"发生","fā shēng"
"发现","fā xiàn"
"发行","fā xíng"
"发芽","fā yá"
"发言","fā yán"
"发扬","fā yáng"
"发音","fā yīn"
"发育","fā yù"
"发展","fā zhǎn"
"发作","fā zuò"
"罚","fá"
"罚款","fá kuǎn"
"法","fǎ"
"法定","fǎ dìng"
"法官","fǎ guān"
"法规","fǎ guī"
"法令","fǎ lìng"
"法律","fǎ lǜ"
"法人","fǎ rén"
"法庭","fǎ tíng"
"法西斯","fǎ xī sī"
"法学","fǎ xué"
"法院","fǎ yuàn"
"法则","fǎ zé"
"法制","fǎ zhì"
"发","fà"
"番","fān"
"翻","fān"
"翻身","fān shēn"
"翻译","fān yì"
"凡","fán"
"凡是","fán shì"
"烦恼","fán nǎo"
"繁","fán"
"繁多","fán duō"
"繁荣","fán róng"
"繁殖","fán zhí"
"繁重","fán zhòng"
"反","fǎn"
"反动","fǎn dòng"
"反对","fǎn duì"
"反而","fǎn ér"
"反复","fǎn fù"
"反抗","fǎn kàng"
"反馈","fǎn kuì"
"反面","fǎn miàn"
"反射","fǎn shè"
"反应","fǎn yìng"
"反映","fǎn yìng"
"反正","fǎn zhèng"
"反之","fǎn zhī"
"返","fǎn"
"返回","fǎn huí"
"犯","fàn"
"犯罪","fàn zuì"
"饭","fàn"
"饭店","fàn diàn"
"泛","fàn"
"范","fàn"
"范畴","fàn chóu"
"范围","fàn wéi"
"方","fāng"
"方案","fāng àn"
"方便","fāng biàn"
"方才","fāng cái"
"方程","fāng chéng"
"方法","fāng fǎ"
"方法论","fāng fǎ lùn"
"方面","fāng miàn"
